NmZ,N,Z,A,El,Mass_Excess,Binding_Energy,Beta_decay_Energy,AMU
13,38,25,63,Mn,-46887.061,8505.102,8748.568359375,949664.672
11,37,26,63,Fe,-55635.629,8631.5499,6215.923828125,940272.698
9,36,27,63,Co,-61851.553,8717.7972,3661.33837890625,933599.63
7,35,28,63,Ni,-65512.891,8763.4955,66.97679901123047,929669.021
5,34,29,63,Cu,-65579.868,8752.1404,-3366.439208984375,929597.119
3,33,30,63,Zn,-62213.429,8686.2866,-5666.32958984375,933211.14
1,32,31,63,Ga,-56547.1,8583.9267,-9625.87890625,939294.194
-1,31,32,63,Ge,-46921.221,8418.7167,-13421.0,949628.0
-3,30,33,63,As,-33500.0,8193.0,-16650.0,964036.0
-5,29,34,63,Se,-16850.0,7917.0,0.0,981911.0
20,42,22,64,Ti,-1480.0,7826.0,14840.0,998411.0
18,41,23,64,V,-16320.0,8045.0,17320.0,982480.0
16,40,24,64,Cr,-33639.978,8303.5626,9349.0625,963886.0
14,39,25,64,Mn,-42989.04,8437.4175,11980.51171875,953849.369
12,38,26,64,Fe,-54969.552,8612.3888,4822.8896484375,940987.761
10,37,27,64,Co,-59792.442,8675.5223,7306.59228515625,935810.176
8,36,28,64,Ni,-67099.034,8777.4637,-1674.6156005859375,927966.228
6,35,29,64,Cu,-65424.418,8739.0736,579.599609375,929764.001
4,34,30,64,Zn,-66004.018,8735.9057,-7171.19140625,929141.776
2,33,31,64,Ga,-58832.827,8611.6317,-4517.32373046875,936840.366
0,32,32,64,Ge,-54315.503,8528.8243,-14783.0,941689.912
-2,31,33,64,As,-39532.0,8286.0,-12673.0,957560.0
-4,30,34,64,Se,-26860.0,8075.0,0.0,971165.0
21,43,22,65,Ti,5210.0,7726.0,17320.0,5593.0
19,42,23,65,V,-12110.0,7981.0,16200.0,986999.0
17,41,24,65,Cr,-28310.0,8218.0,12657.0,969608.0
15,40,25,65,Mn,-40967.344,8400.6822,10250.5576171875,956019.749
13,39,26,65,Fe,-51217.902,8546.347,7967.3037109375,945015.323
11,38,27,65,Co,-59185.205,8656.8848,5940.59130859375,936462.071
9,37,28,65,Ni,-65125.796,8736.2424,2137.880859375,930084.585
7,36,29,65,Cu,-67263.677,8757.0967,-1351.6527099609375,927789.476
5,35,30,65,Zn,-65912.024,8724.266,-3254.5380859375,929240.534
3,34,31,65,Ga,-62657.486,8662.1601,-6179.26318359375,932734.424
1,33,32,65,Ge,-56478.223,8555.0584,-9541.1669921875,939368.136
-1,32,33,65,As,-46937.056,8396.2351,-13917.0,949611.0
