NmZ,N,Z,A,El,Mass_Excess,Binding_Energy,Beta_decay_Energy,AMU
24,84,60,144,Nd,-83748.028,8326.9237,-2331.91162109375,910092.798
22,83,61,144,Pm,-81416.116,8305.2969,549.5095825195312,912596.208
20,82,62,144,Sm,-81965.626,8303.68,-6346.45166015625,912006.285
18,81,63,144,Eu,-75619.175,8254.1744,-3859.663330078125,918819.481
16,80,64,144,Gd,-71759.511,8221.9382,-9391.3232421875,922963.0
14,79,65,144,Tb,-62368.188,8151.2877,-5798.0966796875,933045.0
12,78,66,144,Dy,-56570.091,8105.5902,-11960.5703125,939269.512
10,77,67,144,Ho,-44609.521,8017.0977,-8002.0,952109.712
8,76,68,144,Er,-36608.0,7956.0,-14448.0,960700.0
6,75,69,144,Tm,-22159.0,7850.0,0.0,976211.0
41,93,52,145,Te,-30010.0,7998.0,11120.0,967783.0
39,92,53,145,I,-41130.0,8069.0,10363.0,955845.0
37,91,54,145,Xe,-51493.337,8135.0877,8561.0869140625,944719.631
35,90,55,145,Cs,-60054.424,8188.7342,7461.75927734375,935528.927
33,89,56,145,Ba,-67516.183,8234.7991,5319.142578125,927518.4
31,88,57,145,La,-72835.325,8266.0873,4231.73291015625,921808.065
29,87,58,145,Ce,-77067.059,8289.8762,2558.931884765625,917265.113
27,86,59,145,Pr,-79625.99,8302.1285,1806.0140380859375,914517.987
25,85,60,145,Nd,-81432.004,8309.1883,-164.49819946289062,912579.151
23,84,61,145,Pm,-81267.506,8302.6583,-616.0989990234375,912755.748
21,83,62,145,Sm,-80651.407,8293.0139,-2659.88330078125,913417.157
19,82,63,145,Eu,-77991.524,8269.2744,-5064.8984375,916272.659
17,81,64,145,Gd,-72926.626,8228.9485,-6526.93310546875,921710.051
15,80,65,145,Tb,-66399.693,8178.5397,-8157.08544921875,928717.001
13,79,66,145,Dy,-58242.607,8116.8884,-9122.494140625,937473.992
11,78,67,145,Ho,-49120.113,8048.5792,-9880.0,947267.392
9,77,68,145,Er,-39240.0,7975.0,-11657.0,957874.0
7,76,69,145,Tm,-27583.0,7889.0,0.0,970389.0
40,93,53,146,I,-35540.0,8031.0,12415.0,961846.0
38,92,54,146,Xe,-47954.95,8110.4154,7355.4296875,948518.245
36,91,55,146,Cs,-55310.38,8155.4365,9555.888671875,940621.867
34,90,56,146,Ba,-64866.269,8215.5293,4354.9052734375,930363.2
32,89,57,146,La,-69221.174,8239.9988,6404.69482421875,925688.017
30,88,58,146,Ce,-75625.868,8278.5081,1047.6177978515625,918812.294
28,87,59,146,Pr,-76673.486,8280.325,4252.43017578125,917687.63
26,86,60,146,Nd,-80925.916,8304.0927,-1471.5560302734375,913122.459
24,85,61,146,Pm,-79454.36,8288.655,1542.0,914702.24
22,84,62,146,Sm,-80996.36,8293.8581,-3878.75732421875,913046.835
20,83,63,146,Eu,-77117.603,8261.9327,-1031.77978515625,917210.852
18,82,64,146,Gd,-76085.823,8249.5072,-8322.1787109375,918318.513
16,81,65,146,Tb,-67763.644,8187.1474,-5208.71630859375,927252.739
14,80,66,146,Dy,-62554.928,8146.1128,-11316.701171875,932844.526
12,79,67,146,Ho,-51238.227,8063.2426,-6916.20751953125,944993.503
10,78,68,146,Er,-44322.019,8010.5127,-13267.0,952418.357
8,77,69,146,Tm,-31055.0,7914.0,0.0,966661.0
41,94,53,147,I,-31200.0,8001.0,11199.0,966505.0
39,93,54,147,Xe,-42400.0,8072.0,9520.0,954482.0
37,92,55,147,Cs,-51920.073,8131.801,8343.962890625,944261.512
35,91,56,147,Ba,-60264.036,8183.2405,6414.361328125,935303.9
33,90,57,147,La,-66678.397,8221.5536,5335.50439453125,928417.8
31,89,58,147,Ce,-72013.902,8252.5274,3430.19140625,922689.9
29,88,59,147,Pr,-75444.093,8270.54,2702.701416015625,919007.438
27,87,60,147,Nd,-78146.794,8283.6036,895.1895751953125,916105.969
25,86,61,147,Pm,-79041.984,8284.3712,224.0637969970703,915144.944
23,85,62,147,Sm,-79266.048,8280.5734,-1721.4366455078125,914904.401
21,84,63,147,Eu,-77544.611,8263.5409,-2187.683349609375,916752.44
19,83,64,147,Gd,-75356.928,8243.3366,-4614.25439453125,919101.014
17,82,65,147,Tb,-70742.674,8206.625,-6546.62646484375,924054.62
15,81,66,147,Dy,-64196.047,8156.768,-8438.9462890625,931082.712
13,80,67,147,Ho,-55757.101,8094.0381,-9149.287109375,940142.293
11,79,68,147,Er,-46607.814,8026.476,-10633.4072265625,949964.456
9,78,69,147,Tm,-35974.407,7948.8178,0.0,961379.887
40,94,54,148,Xe,-38650.0,8047.0,8261.0,958508.0
38,93,55,148,Cs,-46910.95,8097.5469,10633.9609375,949639.026
36,92,56,148,Ba,-57544.911,8164.1118,5163.83056640625,938223.0
34,91,57,148,La,-62708.742,8193.7165,7689.6826171875,932679.4
32,90,58,148,Ce,-70398.424,8240.3876,2137.0283203125,924424.186
30,89,59,148,Pr,-72535.452,8249.5409,4872.61328125,922129.992
28,88,60,148,Nd,-77408.066,8277.1778,-542.1890869140625,916899.027
26,87,61,148,Pm,-76865.877,8268.2283,2470.189697265625,917481.091
24,86,62,148,Sm,-79336.067,8279.6326,-3038.58447265625,914829.233
22,85,63,148,Eu,-76297.482,8253.8155,-28.062999725341797,918091.288
20,84,64,148,Gd,-76269.419,8248.3398,-5732.47216796875,918121.414
18,83,65,148,Tb,-70536.947,8204.3207,-2677.550048828125,924275.476
16,82,66,148,Dy,-67859.397,8180.943,-9868.23046875,927149.944
14,81,67,148,Ho,-57991.166,8108.9797,-6512.16943359375,937743.925
12,80,68,148,Er,-51478.997,8059.6924,-12713.962890625,944735.026
10,79,69,148,Tm,-38765.034,7968.5011,-8535.0,958384.026
8,78,70,148,Yb,-30230.0,7906.0,0.0,967547.0
41,95,54,149,Xe,-33000.0,8009.0,10300.0,964573.0
39,94,55,149,Cs,-43300.0,8073.0,9531.0,953516.0
37,93,56,149,Ba,-52830.62,8131.8495,7389.30078125,943284.0
35,92,57,149,La,-60219.921,8176.1915,6450.0,935351.259
33,91,58,149,Ce,-66669.921,8214.2294,4369.45263671875,928426.9
31,90,59,149,Pr,-71039.373,8238.304,3336.16162109375,923736.1
29,89,60,149,Nd,-74375.535,8255.4437,1688.8697509765625,920154.583
27,88,61,149,Pm,-76064.404,8261.5277,1071.49365234375,918341.507
25,87,62,149,Sm,-77135.898,8263.4683,-694.5811767578125,917191.211
23,86,63,149,Eu,-76441.317,8253.556,-1314.1436767578125,917936.875
21,85,64,149,Gd,-75127.173,8239.4856,-3638.53369140625,919347.666
19,84,65,149,Tb,-71488.639,8209.8153,-3794.6494140625,923253.792
17,83,66,149,Dy,-67693.99,8179.0972,-6048.13671875,927327.516
15,82,67,149,Ho,-61645.854,8133.255,-7904.23291015625,933820.457
13,81,68,149,Er,-53741.621,8074.9558,-9801.0,942306.0
11,80,69,149,Tm,-43940.0,8004.0,-10611.0,952828.0
9,79,70,149,Yb,-33330.0,7927.0,0.0,964219.0
42,96,54,150,Xe,-28990.0,7983.0,9180.0,968878.0
40,95,55,150,Cs,-38170.0,8039.0,11720.0,959023.0
38,94,56,150,Ba,-49889.799,8111.8405,6421.34765625,946441.1
36,93,57,150,La,-56311.147,8149.4339,8535.7158203125,939547.5
34,92,58,150,Ce,-64846.863,8201.123,3453.646240234375,930384.032
32,91,59,150,Pr,-68300.509,8218.9316,5379.4423828125,926676.391
30,90,60,150,Nd,-73679.951,8249.5789,-82.6155014038086,920901.322
28,89,61,150,Pm,-73597.336,8243.8125,3454.0,920990.014
26,88,62,150,Sm,-77051.336,8261.6235,-2258.96630859375,917281.993
24,87,63,150,Eu,-74792.369,8241.3481,971.6815185546875,919707.092
22,86,64,150,Gd,-75764.051,8242.6103,-4658.26220703125,918663.949
20,85,65,150,Tb,-71105.789,8206.3396,-1796.170654296875,923664.799
18,84,66,150,Dy,-69309.618,8189.1495,-7363.7265625,925593.068
16,83,67,150,Ho,-61945.892,8134.8423,-4114.56884765625,933498.353
14,82,68,150,Er,-57831.323,8102.1962,-11340.0,937915.524
12,81,69,150,Tm,-46491.0,8021.0,-7661.0,950090.0
10,80,70,150,Yb,-38830.0,7965.0,-14059.0,958314.0
8,79,71,150,Lu,-24771.0,7866.0,0.0,973407.0
41,96,55,151,Cs,-34280.0,8013.0,10660.0,963199.0
39,95,56,151,Ba,-44940.0,8079.0,8370.0,951755.0
37,94,57,151,La,-53310.339,8129.0436,7914.71923828125,942769.0
35,93,58,151,Ce,-61225.058,8176.2779,5554.62353515625,934272.2
33,92,59,151,Pr,-66779.681,8207.8824,4163.501953125,928309.066
31,91,60,151,Nd,-70943.183,8230.2741,2443.07666015625,923839.363
29,90,61,151,Pm,-73386.26,8241.2723,1190.2198486328125,921216.613
27,89,62,151,Sm,-74576.48,8243.9735,76.61820220947266,919938.859
25,88,63,151,Eu,-74653.098,8239.2998,-464.1778869628906,919856.606
23,87,64,151,Gd,-74188.92,8231.0446,-2565.379638671875,920354.922
21,86,65,151,Tb,-71623.541,8208.8743,-2871.152587890625,923108.97
19,85,66,151,Dy,-68752.388,8184.6789,-5129.64208984375,926191.279
17,84,67,151,Ho,-63622.746,8145.5267,-5356.45556640625,931698.176
15,83,68,151,Er,-58266.29,8104.8723,-7494.6767578125,937448.567
13,82,69,151,Tm,-50771.613,8050.0576,-9229.26171875,945494.433
11,81,70,151,Yb,-41542.352,7983.7556,-11242.0,955402.453
9,80,71,151,Lu,-30300.0,7904.0,0.0,967471.0
42,97,55,152,Cs,-29130.0,7980.0,12480.0,968728.0
40,96,56,152,Ba,-41610.0,8057.0,7680.0,955330.0
38,95,57,152,La,-49290.0,8102.0,9690.0,947085.0
36,94,58,152,Ce,-58980.0,8161.0,4778.0,936682.0
34,93,59,152,Pr,-63758.07,8187.1049,6391.59326171875,931552.9
32,92,60,152,Nd,-70149.663,8224.0078,1104.8050537109375,924691.242
30,91,61,152,Pm,-71254.468,8226.1293,3508.5087890625,923505.185
28,90,62,152,Sm,-74762.977,8244.0645,-1874.4774169921875,919738.646
26,89,63,152,Eu,-72888.5,8226.5854,1818.8037109375,921750.98
24,88,64,152,Gd,-74707.304,8233.4042,-3990.0,919798.414
22,87,65,152,Tb,-70717.304,8202.0072,-599.3405151367188,924081.855
20,86,66,152,Dy,-70117.963,8192.9171,-6513.32763671875,924725.274
18,85,67,152,Ho,-63604.636,8144.9193,-3104.41748046875,931717.618
16,84,68,152,Er,-60500.218,8119.3485,-8779.939453125,935050.347
14,83,69,152,Tm,-51720.279,8056.4387,-5449.89208984375,944476.0
12,82,70,152,Yb,-46270.386,8015.4371,-12848.0,950326.699
10,81,71,152,Lu,-33422.0,7926.0,0.0,964120.0
41,97,56,153,Ba,-36470.0,8023.0,9590.0,960848.0
39,96,57,153,La,-46060.0,8081.0,8850.0,950553.0
37,95,58,153,Ce,-54910.0,8134.0,6659.0,941052.0
35,94,59,153,Pr,-61568.49,8172.0371,5761.89013671875,933903.511
33,93,60,153,Nd,-67330.38,8204.5832,3317.62353515625,927717.868
31,92,61,153,Pm,-70648.003,8221.1536,1912.055908203125,924156.252
29,91,62,153,Sm,-72560.059,8228.5373,807.4072875976562,922103.576
27,90,63,153,Eu,-73367.466,8228.7011,-484.5224914550781,921236.789
25,89,64,153,Gd,-72882.944,8220.4209,-1569.333984375,921756.945
23,88,65,153,Tb,-71313.61,8205.0504,-2170.413330078125,923441.694
21,87,66,153,Dy,-69143.197,8185.7514,-4131.123046875,925771.729
19,86,67,153,Ho,-65012.074,8153.6372,-4545.3916015625,930206.671
17,85,68,153,Er,-60466.682,8118.8154,-6494.072265625,935086.35
15,84,69,153,Tm,-53972.61,8071.2571,-6813.0,942058.023
13,83,70,153,Yb,-47160.0,8022.0,-8784.0,949372.0
11,82,71,153,Lu,-38375.462,7959.0882,-11075.0,958802.248
9,81,72,153,Hf,-27300.0,7882.0,0.0,970692.0
42,98,56,154,Ba,-32920.0,8001.0,8610.0,964659.0
40,97,57,154,La,-41530.0,8051.0,10690.0,955416.0
38,96,58,154,Ce,-52220.0,8116.0,5640.0,943940.0
36,95,59,154,Pr,-57859.602,8147.2994,7720.0,937885.165
34,94,60,154,Nd,-65579.602,8192.3491,2687.0,929597.404
32,93,61,154,Pm,-68266.602,8204.717,4188.96142578125,926712.791
30,92,62,154,Sm,-72455.564,8226.8379,-717.1968994140625,922215.756
28,91,63,154,Eu,-71738.367,8217.1006,1967.9913330078125,922985.699
26,90,64,154,Gd,-73706.358,8224.7996,-3549.6513671875,920872.974
24,89,65,154,Tb,-70156.707,8196.6697,237.30799865722656,924683.681
22,88,66,154,Dy,-70394.015,8193.1305,-5754.63623046875,924428.92
20,87,67,154,Ho,-64639.378,8150.6825,-2034.404541015625,930606.776
18,86,68,154,Er,-62604.974,8132.3919,-8177.83154296875,932790.799
16,85,69,154,Tm,-54427.142,8074.209,-4495.04931640625,941570.062
14,84,70,154,Yb,-49932.093,8039.9402,-10265.0,946395.696
12,83,71,154,Lu,-39667.0,7968.0,-6937.0,957416.0
10,82,72,154,Hf,-32730.0,7918.0,0.0,964863.0
41,98,57,155,La,-37930.0,8028.0,9850.0,959280.0
39,97,58,155,Ce,-47780.0,8087.0,7635.0,948706.0
37,96,59,155,Pr,-55415.335,8131.0398,6868.4609375,940509.193
35,95,60,155,Nd,-62283.796,8170.305,4656.20947265625,933135.598
33,94,61,155,Pm,-66940.006,8195.2977,3251.199951171875,928136.951
31,93,62,155,Sm,-70191.206,8211.2258,1627.13134765625,924646.645
29,92,63,155,Eu,-71818.337,8216.676,251.96119689941406,922899.847
27,91,64,155,Gd,-72070.298,8213.2541,-819.8588256835938,922629.356
25,90,65,155,Tb,-71250.439,8202.9173,-2094.5,923509.511
23,89,66,155,Dy,-69155.939,8184.357,-3116.140380859375,925758.049
21,88,67,155,Ho,-66039.799,8159.2055,-3830.626708984375,929103.363
19,87,68,155,Er,-62209.172,8129.4444,-5583.2509765625,933215.71
17,86,69,155,Tm,-56625.921,8088.376,-6123.30712890625,939209.576
15,85,70,155,Yb,-50502.614,8043.8234,-7957.5576171875,945783.216
13,84,71,155,Lu,-42545.056,7987.4369,-8235.0,954326.005
11,83,72,155,Hf,-34310.0,7929.0,-10322.0,963167.0
9,82,73,155,Ta,-23988.0,7858.0,0.0,974248.0
42,99,57,156,La,-33050.0,7997.0,11769.0,964519.0
40,98,58,156,Ce,-44820.0,8068.0,6630.0,951884.0
38,97,59,156,Pr,-51449.307,8105.2337,8752.8232421875,944766.9
36,96,60,156,Nd,-60202.13,8156.3265,3964.717529296875,935370.358
34,95,61,156,Pm,-64166.847,8176.7263,5193.8876953125,931114.059
32,94,62,156,Sm,-69360.735,8205.0054,722.1090087890625,925538.191
30,93,63,156,Eu,-70082.844,8204.6192,2452.489013671875,924762.976
28,92,64,156,Gd,-72535.333,8215.3253,-2444.322998046875,922130.12
26,91,65,156,Tb,-70091.01,8194.6415,438.3761901855469,924754.209
24,90,66,156,Dy,-70529.386,8192.4366,-4990.9833984375,924283.593
22,89,67,156,Ho,-65538.403,8155.428,-1326.7200927734375,929641.634
20,88,68,156,Er,-64211.683,8141.9084,-7377.265625,931065.926
18,87,69,156,Tm,-56834.417,8089.6032,-3568.87939453125,938985.746
16,86,70,156,Yb,-53265.538,8061.7107,-9565.98828125,942817.096
14,85,71,156,Lu,-43699.55,7995.3752,-5880.03515625,953086.606
12,84,72,156,Hf,-37819.514,7952.6676,-11819.0,959399.083
10,83,73,156,Ta,-26001.0,7872.0,0.0,972087.0
43,100,57,157,La,-29070.0,7972.0,10860.0,968792.0
41,99,58,157,Ce,-39930.0,8037.0,8504.0,957133.0
39,98,59,157,Pr,-48434.806,8085.817,8059.31103515625,948003.1
37,97,60,157,Nd,-56494.117,8132.1671,5802.99951171875,939351.074
35,96,61,157,Pm,-62297.116,8164.1458,4380.53759765625,933121.298
33,95,62,157,Sm,-66677.654,8187.0642,2781.480712890625,928418.598
31,94,63,157,Eu,-69459.134,8199.7975,1364.7613525390625,925432.556
29,93,64,157,Gd,-70823.896,8203.5072,-60.047298431396484,923967.424
27,92,65,157,Tb,-70763.848,8198.1416,-1339.1790771484375,924031.888
25,91,66,157,Dy,-69424.669,8184.6287,-2591.806884765625,925469.555
23,90,67,157,Ho,-66832.862,8163.1373,-3419.214599609375,928251.974
21,89,68,157,Er,-63413.648,8136.3757,-4704.369140625,931922.652
19,88,69,157,Tm,-58709.279,8101.4285,-5289.36669921875,936973.0
17,87,70,157,Yb,-53419.912,8062.7551,-6980.09423828125,942651.368
15,86,71,157,Lu,-46439.818,8013.3128,-7585.0,950144.807
13,85,72,157,Hf,-38855.0,7960.0,-9259.0,958288.0
11,84,73,157,Ta,-29595.948,7896.0608,-9906.0,968227.445
9,83,74,157,W,-19690.0,7828.0,0.0,978862.0
42,100,58,158,Ce,-36540.0,8015.0,7610.0,960773.0
40,99,59,158,Pr,-44150.0,8059.0,9685.0,952603.0
38,98,60,158,Nd,-53835.123,8114.9529,5271.01953125,942205.62
36,97,61,158,Pm,-59106.143,8143.3622,6145.7060546875,936546.948
34,96,62,158,Sm,-65251.849,8177.3075,2018.6123046875,929949.262
32,95,63,158,Eu,-67270.461,8185.132,3419.508056640625,927782.192
30,94,64,158,Gd,-70689.969,8201.8229,-1219.086181640625,924111.2
28,93,65,158,Tb,-69470.883,8189.1556,936.2686157226562,925419.942
26,92,66,158,Dy,-70407.152,8190.1298,-4219.75537109375,924414.817
24,91,67,158,Ho,-66187.396,8158.4709,-883.5811767578125,928944.91
22,90,68,158,Er,-65303.815,8147.927,-6600.615234375,929893.474
20,89,69,158,Tm,-58703.2,8101.1994,-2693.57958984375,936979.525
18,88,70,158,Yb,-56009.62,8079.1999,-8797.419921875,939871.202
16,87,71,158,Lu,-47212.2,8018.5685,-5109.80078125,949315.62
14,86,72,158,Hf,-42102.399,7981.2764,-10984.0,954801.217
12,85,73,158,Ta,-31118.0,7907.0,-7426.0,966593.0
10,84,74,158,W,-23693.0,7855.0,0.0,974565.0
43,101,58,159,Ce,-31340.0,7983.0,9430.0,966355.0
41,100,59,159,Pr,-40770.0,8037.0,8954.0,956232.0
39,99,60,159,Nd,-49724.007,8088.8224,6830.34423828125,946619.085
37,98,61,159,Pm,-56554.351,8126.8601,5653.498046875,939286.409
35,97,62,159,Sm,-62207.849,8157.4963,3835.536376953125,933217.13
33,96,63,159,Eu,-66043.386,8176.6987,2518.4716796875,929099.512
31,95,64,159,Gd,-68561.857,8187.6177,970.7241821289062,926395.822
29,94,65,159,Tb,-69532.582,8188.8025,-365.3612976074219,925353.707
27,93,66,159,Dy,-69167.22,8181.5842,-1837.5999755859375,925745.938
25,92,67,159,Ho,-67329.62,8165.1066,-2768.5,927718.683
23,91,68,159,Er,-64561.12,8142.7742,-3990.71630859375,930690.79
21,90,69,159,Tm,-60570.404,8112.7549,-4736.88671875,934975.0
19,89,70,159,Yb,-55833.517,8078.0428,-6124.908203125,940060.257
17,88,71,159,Lu,-49708.609,8034.6009,-6856.0029296875,946635.615
15,87,72,159,Hf,-42852.606,7986.561,-8413.44921875,953995.837
13,86,73,159,Ta,-34439.157,7928.7258,-9005.0,963028.046
11,85,74,159,W,-25434.0,7867.0,-10629.0,972696.0
9,84,75,159,Re,-14805.0,7795.0,0.0,984106.0
42,101,59,160,Pr,-36200.0,8009.0,10525.0,961138.0
40,100,60,160,Nd,-46724.515,8069.9662,6170.1240234375,949839.172
38,99,61,160,Pm,-52894.639,8103.6398,7338.53369140625,943215.272
36,98,62,160,Sm,-60233.172,8144.6159,3260.2763671875,935337.032
34,97,63,160,Eu,-63493.449,8160.103,4448.611328125,931836.982
32,96,64,160,Gd,-67942.06,8183.0171,-105.5863037109375,927061.202
30,95,65,160,Tb,-67836.474,8177.4676,1835.95166015625,927174.553
28,94,66,160,Dy,-69672.425,8184.0526,-3290.0,925203.578
26,93,67,160,Ho,-66382.425,8158.6004,-318.2488098144531,928735.538
24,92,68,160,Er,-66064.176,8151.7217,-5763.1396484375,929077.193
22,91,69,160,Tm,-60301.037,8110.8124,-2137.81005859375,935264.177
20,90,70,160,Yb,-58163.227,8092.5614,-7893.28466796875,937559.21
18,89,71,160,Lu,-50269.942,8038.3387,-4331.1953125,946033.0
16,88,72,160,Hf,-45938.747,8006.3791,-10115.0478515625,950682.728
14,87,73,160,Ta,-35823.7,7938.2704,-6494.62646484375,961541.678
12,86,74,160,W,-29329.073,7892.7893,-12451.0,968513.946
10,85,75,160,Re,-16878.0,7810.0,0.0,981880.0
43,102,59,161,Pr,-32490.0,7986.0,9741.0,965121.0
41,101,60,161,Nd,-42230.0,8042.0,7856.0,954664.0
39,100,61,161,Pm,-50086.589,8085.9977,6585.45458984375,946229.837
37,99,62,161,Sm,-56672.043,8122.0418,5119.5576171875,939160.062
35,98,63,161,Eu,-61791.601,8148.981,3714.54052734375,933663.991
33,97,64,161,Gd,-65506.142,8167.1934,1955.6357421875,929676.267
31,96,65,161,Tb,-67461.778,8174.4809,593.7166137695312,927576.806
29,95,66,161,Dy,-68055.494,8173.3093,-859.2003173828125,926939.425
27,94,67,161,Ho,-67196.294,8163.1134,-1994.995361328125,927861.815
25,93,68,161,Er,-65201.298,8145.8628,-3302.583984375,930003.53
23,92,69,161,Tm,-61898.715,8120.4906,-4064.466552734375,933549.0
21,91,70,161,Yb,-57834.248,8090.3861,-5271.89892578125,937912.384
19,90,71,161,Lu,-52562.349,8052.7821,-6246.53173828125,943572.0
17,89,72,161,Hf,-46315.817,8009.1245,-7537.2421875,950277.927
15,88,73,161,Ta,-38778.575,7957.45,-8272.0,958369.489
13,87,74,161,W,-30507.0,7901.0,-9664.0,967249.0
11,86,75,161,Re,-20842.82,7836.3292,-10647.0,977624.313
9,85,76,161,Os,-10196.0,7765.0,0.0,989054.0
42,102,60,162,Nd,-39010.0,8022.0,7030.0,958121.0
40,101,61,162,Pm,-46040.0,8061.0,8339.0,950574.0
38,100,62,162,Sm,-54379.053,8107.5745,4343.890625,941621.687
36,99,63,162,Eu,-58722.944,8129.5593,5557.77587890625,936958.329
34,98,64,162,Gd,-64280.72,8159.0373,1598.8277587890625,930991.812
32,97,65,162,Tb,-65879.548,8164.0773,2301.62158203125,929275.4
30,96,66,162,Dy,-68181.169,8173.4555,-2140.606689453125,926804.507
28,95,67,162,Ho,-66040.563,8155.4126,293.6477966308594,929102.543
26,94,68,162,Er,-66334.21,8152.3959,-4856.72802734375,928787.299
24,93,69,162,Tm,-61477.482,8117.5868,-1656.3189697265625,934001.211
22,92,70,162,Yb,-59821.163,8102.5333,-6989.404296875,935779.342
20,91,71,162,Lu,-52831.759,8054.5596,-3663.333251953125,943282.776
18,90,72,162,Hf,-49168.426,8027.1171,-9387.021484375,947215.526
16,89,73,162,Ta,-39781.405,7964.3432,-5782.18798828125,957292.907
14,88,74,162,W,-33999.217,7923.8214,-11546.0,963500.341
12,87,75,162,Re,-22453.0,7848.0,-7953.0,975896.0
10,86,76,162,Os,-14500.0,7794.0,0.0,984434.0
43,103,60,163,Nd,-34080.0,7992.0,8880.0,963414.0
41,102,61,163,Pm,-42960.0,8042.0,7640.0,953881.0
39,101,62,163,Sm,-50599.612,8084.1653,5974.20751953125,945679.085
37,100,63,163,Eu,-56573.819,8116.0172,4814.77197265625,939265.51
35,99,64,163,Gd,-61388.591,8140.756,3207.162841796875,934096.64
33,98,65,163,Tb,-64595.754,8155.6322,1785.1041259765625,930653.609
31,97,66,163,Dy,-66380.858,8161.784,-2.830899953842163,928737.221
29,96,67,163,Ho,-66378.027,8156.967,-1210.6141357421875,928740.26
27,95,68,163,Er,-65167.413,8144.7403,-2439.0,930039.908
25,94,69,163,Tm,-62728.413,8124.9774,-3434.534423828125,932658.282
23,93,70,163,Yb,-59293.878,8099.1069,-4502.46337890625,936345.406
21,92,71,163,Lu,-54791.415,8066.6848,-5522.09423828125,941179.0
19,91,72,163,Hf,-49269.32,8028.0072,-6734.6865234375,947107.211
17,90,73,163,Ta,-42534.634,7981.8905,-7626.1953125,954337.194
15,89,74,163,W,-34908.439,7930.3043,-8906.185546875,962524.251
13,88,75,163,Re,-26002.253,7870.8655,-9666.0,972085.434
11,87,76,163,Os,-16336.0,7807.0,-11026.0,982462.0
9,86,77,163,Ir,-5310.0,7734.0,0.0,994299.0
42,103,61,164,Pm,-38360.0,8014.0,9565.0,958819.0
40,102,62,164,Sm,-47925.314,8067.7803,5306.83154296875,948550.061
38,101,63,164,Eu,-53232.146,8095.3686,6461.54150390625,942852.943
36,100,64,164,Gd,-59693.688,8129.9978,2411.2958984375,935916.193
34,99,65,164,Tb,-62104.983,8139.9304,3862.665283203125,933327.561
32,98,66,164,Dy,-65967.649,8158.7129,-987.1314697265625,929180.819
30,97,67,164,Ho,-64980.517,8147.9234,962.055908203125,930240.548
28,96,68,164,Er,-65942.573,8149.0191,-4033.630126953125,929207.739
26,95,69,164,Tm,-61908.943,8119.6534,-896.772216796875,933538.019
24,94,70,164,Yb,-61012.171,8109.4149,-6369.79541015625,934500.743
22,93,71,164,Lu,-54642.376,8065.8043,-2824.019287109375,941339.0
20,92,72,164,Hf,-51818.356,8043.8142,-8535.55078125,944370.709
18,91,73,164,Ta,-43282.805,7986.9978,-5047.25,953534.0
16,90,74,164,W,-38235.555,7951.4515,-10763.1142578125,958952.445
14,89,75,164,Re,-27472.441,7881.0523,-7047.7177734375,970507.122
12,88,76,164,Os,-20424.723,7833.308,-12941.0,978073.158
10,87,77,164,Ir,-7483.0,7750.0,0.0,991966.0
43,104,61,165,Pm,-34670.0,7992.0,8840.0,962780.0
41,103,62,165,Sm,-43510.0,8041.0,7219.0,953290.0
39,102,63,165,Eu,-50729.103,8080.0529,5796.6787109375,945540.07
37,101,64,165,Gd,-56525.782,8110.4428,4063.0673828125,939317.08
35,100,65,165,Tb,-60588.849,8130.3259,3023.439208984375,934955.198
33,99,66,165,Dy,-63612.289,8143.9083,1285.728759765625,931709.402
31,98,67,165,Ho,-64898.017,8146.9591,-376.664794921875,930329.116
29,97,68,165,Er,-64521.353,8139.9348,-1591.3282470703125,930733.482
27,96,69,165,Tm,-62930.024,8125.5489,-2634.636474609375,932441.843
25,95,70,165,Yb,-60295.388,8104.8399,-3853.140380859375,935270.241
23,94,71,165,Lu,-56442.248,8076.746,-4806.73486328125,939406.758
21,93,72,165,Hf,-51635.513,8042.8728,-5787.64111328125,944567.0
19,92,73,165,Ta,-45847.872,8003.0547,-6986.5556640625,950780.287
17,91,74,165,W,-38861.316,7955.9704,-8201.962890625,958280.663
15,90,75,165,Re,-30659.353,7901.5201,-8913.0,967085.831
13,89,76,165,Os,-21747.0,7843.0,-10151.0,976654.0
11,88,77,165,Ir,-11595.0,7776.0,-11277.0,987552.0
9,87,78,165,Pt,-318.0,7703.0,0.0,999658.0
42,104,62,166,Sm,-40450.0,8023.0,6299.0,956575.0
40,103,63,166,Eu,-46749.0,8056.0,7622.0,949813.0
38,102,64,166,Gd,-54370.926,8097.226,3437.8515625,941630.413
36,101,65,166,Tb,-57808.778,8113.223,4775.69287109375,937939.727
34,100,66,166,Dy,-62584.471,8137.2793,485.868408203125,932812.81
32,99,67,166,Ho,-63070.339,8135.4933,1853.8056640625,932291.209
30,98,68,166,Er,-64924.145,8141.9479,-3037.666748046875,930301.067
28,97,69,166,Tm,-61886.478,8118.9357,-292.7713928222656,933562.136
26,96,70,166,Yb,-61593.706,8112.4591,-5572.7197265625,933876.439
24,95,71,166,Lu,-56020.987,8074.1756,-2161.997802734375,939859.0
22,94,72,166,Hf,-53858.989,8056.4386,-7761.208984375,942180.0
20,93,73,166,Ta,-46097.78,8004.9714,-4210.30908203125,950512.0
18,92,74,166,W,-41887.471,7974.8951,-10050.1357421875,955031.952
16,91,75,166,Re,-31837.335,7909.6392,-6405.80908203125,965821.216
